id,combined_cleaned
47,구내식당 조리보조 주일 시시 월만원 부산 기장군 철마면 반송로 주방주방보조설거지 요리서빙 기타 현실형
48,병원 급식 조리사님 모십니다 부산 중구 대청로 주방주방보조설거지 현실형
49,주방보조 구합니다 부산 금정구 동현로번길 주방주방보조설거지 요리서빙 기타 현실형
50,경력자 직원을 모집합니다 부산 영도구 절영로 섬유재단미싱 현실형
51,평일 월목 야간알바 시시 부산 연제구 연산동 편의점 현실형
52,의류 샘플사 삼봉사 모집합니다 부산 금정구 금정로 섬유재단미싱 현실형
53,홀서빙 구함 부산 동구 자성공원로번길 서빙포장 현실형
54,주방보조 모집 부산 해운대구 달맞이길번길 주방주방보조설거지 주방장조리사 현실형
55,오전오후야간 타임 모집중 부산 기장군 기장읍 편의점 유통판매 기타 사회형
56,짚신매운갈비찜 광안점 주일 구합니다 부산 전지역 전지역 요리서빙 기타 서빙포장 현실형
57,월 둘째주부터 일 할 정직원 파트타임 직원 구합니다 부산 사상구 엄궁동 요리서빙 기타 서빙포장 현실형
58,바 영업전 오픈청소 구합니다 부산 동래구 충렬대로번길 주방주방보조설거지 현실형
59,서면 전포동 유남주 고기집 주방 주말 파트타이머 구해요 부산 부산진구 전포동 요리서빙 기타 현실형
60,조방점 주말야간토구합니다 부산 동구 범일동 편의점 유통판매 기타 현실형
61,전단지 아르바이트 경력자모집 부산 동래구 사직동 서비스 기타 현실형
62,태종대 조개구이촌 올레에서 이모 모집합니다 부산 영도구 동삼동 요리서빙 기타 예술형
63,급구 부산북구만덕 삼소통나무집에서 주방보조 주중주말 구합니다 부산 북구 만덕동 요리서빙 기타 서빙포장 주방주방보조설거지 현실형
64,태권도 차량기사님 모집합니다 부산 동래구 명장동 승용차대리운전 버스택시승합차 현실형
65,이비가짬뽕 동부산점 홀 서빙 주말 알바 모집 부산 기장군 전지역 요리서빙 기타 현실형
66,항정살돈천하 오전홀오후주방 구합니다 부산 사하구 전지역 요리서빙 기타 현실형
67,육림구공탄 주말 금토일주방보조명 알바모집 부산 부산진구 당감동 요리서빙 기타 현실형
68,펍카페 마린비어 주방 직원 알바 초보가능구함 부산 해운대구 재송동 요리서빙 기타 주방주방보조설거지 현실형
69,수영한서병원 식당주방직원 월 만원이상 초보가능 부산 수영구 광안동 주방주방보조설거지 현실형
70,사직동 학원 운전하실분 구합니다 평일 시시분 토 시시 부산 동래구 온천동 교육강사 기타 승용차대리운전 사회형
71,삼겹이네 연동점자이주유소 옆 홀알바주말반파트타임초보환영 부산 연제구 연산동 요리서빙 기타 현실형
72,영도 동삼동 평일 매장 오픈 직원 모집 백채 김치찌개 부산 영도구 동삼동 요리서빙 기타 현실형
73,종합 분식점 오후 판매 홀서빙 명 직원 모십니다 부산 동래구 사직동 요리서빙 기타 서빙포장 주방장조리사 현실형
74,주방보조 구합니다 주일월금 시분 근무 부산 중구 중앙동 요리서빙 기타 주방주방보조설거지 현실형
75,홀서빙 아르바이트 구합니다금토일 부산 사하구 하단동 요리서빙 기타 현실형
76,하나방역에서 하방맨기를 모집합니다일만이상활발하신 분 지원하세요수당지급 부산 동래구 충렬대로번길 서비스 기타 청소미화방역 사회형
